"原始序號","項目","組別","名次","獲獎者","座位區域","座位編號","全名","座位全名"
1,"國語演說","國小學生組",1,,"A",1,"國語演說（國小學生組）第1名","A區（1排1號）"
2,"國語演說","國小學生組",2,,"A",2,"國語演說（國小學生組）第2名","A區（1排2號）"
3,"國語演說","國小學生組",3,,"A",3,"國語演說（國小學生組）第3名","A區（1排3號）"
4,"國語演說","國小學生組",4,,"A",4,"國語演說（國小學生組）第4名","A區（1排4號）"
5,"國語演說","國小學生組",5,,"A",5,"國語演說（國小學生組）第5名","A區（1排5號）"
6,"國語演說","國小學生組",6,,"A",6,"國語演說（國小學生組）第6名","A區（1排6號）"
7,"國語演說","國中學生組",1,,"A",7,"國語演說（國中學生組）第1名","A區（1排7號）"
8,"國語演說","國中學生組",2,,"A",8,"國語演說（國中學生組）第2名","A區（1排8號）"
9,"國語演說","國中學生組",3,,"A",9,"國語演說（國中學生組）第3名","A區（2排1號）"
10,"國語演說","國中學生組",4,,"A",10,"國語演說（國中學生組）第4名","A區（2排2號）"
11,"國語演說","國中學生組",5,,"A",11,"國語演說（國中學生組）第5名","A區（2排3號）"
12,"國語演說","國中學生組",6,,"A",12,"國語演說（國中學生組）第6名","A區（2排4號）"
13,"國語演說","高中學生組",1,,"A",13,"國語演說（高中學生組）第1名","A區（2排5號）"
14,"國語演說","高中學生組",2,,"A",14,"國語演說（高中學生組）第2名","A區（2排6號）"
15,"國語演說","高中學生組",3,,"A",15,"國語演說（高中學生組）第3名","A區（2排7號）"
16,"國語演說","高中學生組",4,,"A",16,"國語演說（高中學生組）第4名","A區（2排8號）"
17,"國語演說","高中學生組",5,,"A",17,"國語演說（高中學生組）第5名","A區（3排1號）"
18,"國語演說","高中學生組",6,,"A",18,"國語演說（高中學生組）第6名","A區（3排2號）"
19,"國語演說","教師組",1,,"A",19,"國語演說（教師組）第1名","A區（3排3號）"
20,"國語演說","教師組",2,,"A",20,"國語演說（教師組）第2名","A區（3排4號）"
21,"國語演說","教師組",3,,"A",21,"國語演說（教師組）第3名","A區（3排5號）"
22,"國語演說","教師組",4,,"A",22,"國語演說（教師組）第4名","A區（3排6號）"
23,"國語演說","教師組",5,,"A",23,"國語演說（教師組）第5名","A區（3排7號）"
24,"國語演說","教師組",6,,"A",24,"國語演說（教師組）第6名","A區（3排8號）"
25,"國語演說","社會組",1,,"A",25,"國語演說（社會組）第1名","A區（4排1號）"
26,"國語演說","社會組",2,,"A",26,"國語演說（社會組）第2名","A區（4排2號）"
27,"國語演說","社會組",3,,"A",27,"國語演說（社會組）第3名","A區（4排3號）"
28,"國語演說","社會組",4,,"A",28,"國語演說（社會組）第4名","A區（4排4號）"
29,"國語演說","社會組",5,,"A",29,"國語演說（社會組）第5名","A區（4排5號）"
30,"國語演說","社會組",6,,"A",30,"國語演說（社會組）第6名","A區（4排6號）"
31,"國語演說","教大組",1,,"A",31,"國語演說（教大組）第1名","A區（4排7號）"
32,"國語演說","教大組",2,,"A",32,"國語演說（教大組）第2名","A區（4排8號）"
33,"國語演說","教大組",3,,"A",33,"國語演說（教大組）第3名","A區（5排1號）"
34,"國語演說","教大組",4,,"A",34,"國語演說（教大組）第4名","A區（5排2號）"
35,"國語演說","教大組",5,,"A",35,"國語演說（教大組）第5名","A區（5排3號）"
36,"國語演說","教大組",6,,"A",36,"國語演說（教大組）第6名","A區（5排4號）"
37,"閩南語演說","國小學生組",1,,"A",37,"閩南語演說（國小學生組）第1名","A區（6排1號）"
38,"閩南語演說","國小學生組",2,,"A",38,"閩南語演說（國小學生組）第2名","A區（6排2號）"
39,"閩南語演說","國小學生組",3,,"A",39,"閩南語演說（國小學生組）第3名","A區（6排3號）"
40,"閩南語演說","國小學生組",4,,"A",40,"閩南語演說（國小學生組）第4名","A區（6排4號）"
41,"閩南語演說","國小學生組",5,,"A",41,"閩南語演說（國小學生組）第5名","A區（6排5號）"
42,"閩南語演說","國小學生組",6,,"A",42,"閩南語演說（國小學生組）第6名","A區（6排6號）"
43,"閩南語演說","國中學生組",1,,"A",43,"閩南語演說（國中學生組）第1名","A區（6排7號）"
44,"閩南語演說","國中學生組",2,,"A",44,"閩南語演說（國中學生組）第2名","A區（6排8號）"
45,"閩南語演說","國中學生組",3,,"A",45,"閩南語演說（國中學生組）第3名","A區（7排1號）"
46,"閩南語演說","國中學生組",4,,"A",46,"閩南語演說（國中學生組）第4名","A區（7排2號）"
47,"閩南語演說","國中學生組",5,,"A",47,"閩南語演說（國中學生組）第5名","A區（7排3號）"
48,"閩南語演說","國中學生組",6,,"A",48,"閩南語演說（國中學生組）第6名","A區（7排4號）"
49,"閩南語演說","高中學生組",1,,"A",49,"閩南語演說（高中學生組）第1名","A區（7排5號）"
50,"閩南語演說","高中學生組",2,,"A",50,"閩南語演說（高中學生組）第2名","A區（7排6號）"
51,"閩南語演說","高中學生組",3,,"A",51,"閩南語演說（高中學生組）第3名","A區（7排7號）"
52,"閩南語演說","高中學生組",4,,"A",52,"閩南語演說（高中學生組）第4名","A區（7排8號）"
53,"閩南語演說","高中學生組",5,,"A",53,"閩南語演說（高中學生組）第5名","A區（8排1號）"
54,"閩南語演說","高中學生組",6,,"A",54,"閩南語演說（高中學生組）第6名","A區（8排2號）"
55,"閩南語演說","教師組",1,,"A",55,"閩南語演說（教師組）第1名","A區（8排3號）"
56,"閩南語演說","教師組",2,,"A",56,"閩南語演說（教師組）第2名","A區（8排4號）"
57,"閩南語演說","教師組",3,,"A",57,"閩南語演說（教師組）第3名","A區（8排5號）"
58,"閩南語演說","教師組",4,,"A",58,"閩南語演說（教師組）第4名","A區（8排6號）"
59,"閩南語演說","教師組",5,,"A",59,"閩南語演說（教師組）第5名","A區（8排7號）"
60,"閩南語演說","教師組",6,,"A",60,"閩南語演說（教師組）第6名","A區（8排8號）"
61,"閩南語演說","社會組",1,,"A",61,"閩南語演說（社會組）第1名","A區（9排1號）"
62,"閩南語演說","社會組",2,,"A",62,"閩南語演說（社會組）第2名","A區（9排2號）"
63,"閩南語演說","社會組",3,,"A",63,"閩南語演說（社會組）第3名","A區（9排3號）"
64,"閩南語演說","社會組",4,,"A",64,"閩南語演說（社會組）第4名","A區（9排4號）"
65,"閩南語演說","社會組",5,,"A",65,"閩南語演說（社會組）第5名","A區（9排5號）"
66,"閩南語演說","社會組",6,,"A",66,"閩南語演說（社會組）第6名","A區（9排6號）"
67,"閩南語演說","教大組",1,,"A",67,"閩南語演說（教大組）第1名","A區（9排7號）"
68,"閩南語演說","教大組",2,,"A",68,"閩南語演說（教大組）第2名","A區（9排8號）"
69,"閩南語演說","教大組",3,,"A",69,"閩南語演說（教大組）第3名","A區（10排1號）"
70,"閩南語演說","教大組",4,,"A",70,"閩南語演說（教大組）第4名","A區（10排2號）"
71,"閩南語演說","教大組",5,,"A",71,"閩南語演說（教大組）第5名","A區（10排3號）"
72,"閩南語演說","教大組",6,,"A",72,"閩南語演說（教大組）第6名","A區（10排4號）"
73,"客家語演說","國小學生組",1,,"B",1,"客家語演說（國小學生組）第1名","B區（1排1號）"
74,"客家語演說","國小學生組",2,,"B",2,"客家語演說（國小學生組）第2名","B區（1排2號）"
75,"客家語演說","國小學生組",3,,"B",3,"客家語演說（國小學生組）第3名","B區（1排3號）"
76,"客家語演說","國小學生組",4,,"B",4,"客家語演說（國小學生組）第4名","B區（1排4號）"
77,"客家語演說","國小學生組",5,,"B",5,"客家語演說（國小學生組）第5名","B區（1排5號）"
78,"客家語演說","國小學生組",6,,"B",6,"客家語演說（國小學生組）第6名","B區（1排6號）"
79,"客家語演說","國中學生組",1,,"B",7,"客家語演說（國中學生組）第1名","B區（1排7號）"
80,"客家語演說","國中學生組",2,,"B",8,"客家語演說（國中學生組）第2名","B區（1排8號）"
81,"客家語演說","國中學生組",3,,"B",9,"客家語演說（國中學生組）第3名","B區（2排1號）"
82,"客家語演說","國中學生組",4,,"B",10,"客家語演說（國中學生組）第4名","B區（2排2號）"
83,"客家語演說","國中學生組",5,,"B",11,"客家語演說（國中學生組）第5名","B區（2排3號）"
84,"客家語演說","國中學生組",6,,"B",12,"客家語演說（國中學生組）第6名","B區（2排4號）"
85,"客家語演說","高中學生組",1,,"B",13,"客家語演說（高中學生組）第1名","B區（2排5號）"
86,"客家語演說","高中學生組",2,,"B",14,"客家語演說（高中學生組）第2名","B區（2排6號）"
87,"客家語演說","高中學生組",3,,"B",15,"客家語演說（高中學生組）第3名","B區（2排7號）"
88,"客家語演說","高中學生組",4,,"B",16,"客家語演說（高中學生組）第4名","B區（2排8號）"
89,"客家語演說","高中學生組",5,,"B",17,"客家語演說（高中學生組）第5名","B區（3排1號）"
90,"客家語演說","高中學生組",6,,"B",18,"客家語演說（高中學生組）第6名","B區（3排2號）"
91,"客家語演說","教師組",1,,"B",19,"客家語演說（教師組）第1名","B區（3排3號）"
92,"客家語演說","教師組",2,,"B",20,"客家語演說（教師組）第2名","B區（3排4號）"
93,"客家語演說","教師組",3,,"B",21,"客家語演說（教師組）第3名","B區（3排5號）"
94,"客家語演說","教師組",4,,"B",22,"客家語演說（教師組）第4名","B區（3排6號）"
95,"客家語演說","教師組",5,,"B",23,"客家語演說（教師組）第5名","B區（3排7號）"
96,"客家語演說","教師組",6,,"B",24,"客家語演說（教師組）第6名","B區（3排8號）"
97,"客家語演說","社會組",1,,"B",25,"客家語演說（社會組）第1名","B區（4排1號）"
98,"客家語演說","社會組",2,,"B",26,"客家語演說（社會組）第2名","B區（4排2號）"
99,"客家語演說","社會組",3,,"B",27,"客家語演說（社會組）第3名","B區（4排3號）"
100,"客家語演說","社會組",4,,"B",28,"客家語演說（社會組）第4名","B區（4排4號）"
101,"客家語演說","社會組",5,,"B",29,"客家語演說（社會組）第5名","B區（4排5號）"
102,"客家語演說","社會組",6,,"B",30,"客家語演說（社會組）第6名","B區（4排6號）"
103,"客家語演說","教大組",1,,"B",31,"客家語演說（教大組）第1名","B區（4排7號）"
104,"客家語演說","教大組",2,,"B",32,"客家語演說（教大組）第2名","B區（4排8號）"
105,"阿美族語演說","教師組",1,,"B",33,"阿美族語演說（教師組）第1名","B區（5排1號）"
106,"阿美族語演說","教師組",2,,"B",34,"阿美族語演說（教師組）第2名","B區（5排2號）"
107,"阿美族語演說","社會組",1,,"B",35,"阿美族語演說（社會組）第1名","B區（5排3號）"
108,"阿美族語演說","社會組",2,,"B",36,"阿美族語演說（社會組）第2名","B區（5排4號）"
109,"阿美族語演說","社會組",3,,"B",37,"阿美族語演說（社會組）第3名","B區（5排5號）"
110,"阿美族語演說","社會組",4,,"B",38,"阿美族語演說（社會組）第4名","B區（5排6號）"
111,"阿美族語演說","社會組",5,,"B",39,"阿美族語演說（社會組）第5名","B區（5排7號）"
112,"泰雅族語演說","教師組",1,,"B",40,"泰雅族語演說（教師組）第1名","B區（5排8號）"
113,"泰雅族語演說","教師組",2,,"B",41,"泰雅族語演說（教師組）第2名","B區（6排1號）"
114,"泰雅族語演說","教師組",3,,"B",42,"泰雅族語演說（教師組）第3名","B區（6排2號）"
115,"泰雅族語演說","教師組",4,,"B",43,"泰雅族語演說（教師組）第4名","B區（6排3號）"
116,"泰雅族語演說","社會組",1,,"B",44,"泰雅族語演說（社會組）第1名","B區（6排4號）"
117,"泰雅族語演說","社會組",2,,"B",45,"泰雅族語演說（社會組）第2名","B區（6排5號）"
118,"泰雅族語演說汶水泰雅語","教師組",1,,"B",46,"泰雅族語演說汶水泰雅語（教師組）第1名","B區（6排6號）"
