"原始序號","項目","組別","名次","獲獎者","座位區域","座位編號","全名","座位全名"
1,"團體精進獎","校院組",1,,"J",1,"團體精進獎（校院組）第1名","J區（1排1號）"
2,"團體精進獎","校院組",2,,"J",2,"團體精進獎（校院組）第2名","J區（1排2號）"
3,"團體精進獎","校院組",3,,"J",3,"團體精進獎（校院組）第3名","J區（1排3號）"
4,"團體精進獎","直轄市及縣(市)組",1,,"J",4,"團體精進獎（直轄市及縣(市)組）第1名","J區（1排4號）"
5,"團體精進獎","直轄市及縣(市)組",2,,"J",5,"團體精進獎（直轄市及縣(市)組）第2名","J區（1排5號）"
6,"團體精進獎","直轄市及縣(市)組",3,,"J",6,"團體精進獎（直轄市及縣(市)組）第3名","J區（1排6號）"
7,"團體獎","校院組",1,,"J",7,"團體獎（校院組）第1名","J區（1排7號）"
8,"團體獎","校院組",2,,"J",8,"團體獎（校院組）第2名","J區（1排8號）"
9,"團體獎","校院組",3,,"J",9,"團體獎（校院組）第3名","J區（2排1號）"
10,"團體獎","原住民族語組",1,,"J",10,"團體獎（原住民族語組）第1名","J區（2排2號）"
11,"團體獎","原住民族語組",2,,"J",11,"團體獎（原住民族語組）第2名","J區（2排3號）"
12,"團體獎","原住民族語組",3,,"J",12,"團體獎（原住民族語組）第3名","J區（2排4號）"
13,"團體獎","甲組",1,,"J",13,"團體獎（甲組）第1名","J區（2排5號）"
14,"團體獎","甲組",2,,"J",14,"團體獎（甲組）第2名","J區（2排6號）"
15,"團體獎","甲組",3,,"J",15,"團體獎（甲組）第3名","J區（2排7號）"
16,"團體獎","乙組",1,,"J",16,"團體獎（乙組）第1名","J區（2排8號）"
17,"團體獎","乙組",2,,"J",17,"團體獎（乙組）第2名","J區（3排1號）"
18,"團體獎","乙組",3,,"J",18,"團體獎（乙組）第3名","J區（3排2號）"
19,"團體獎","乙組",4,,"J",19,"團體獎（乙組）第4名","J區（3排3號）"
20,"精神總進標獎","校院組",1,,"J",20,"精神總進標獎（校院組）第1名","J區（3排4號）"
21,"精神總進標獎","校院組",2,,"J",21,"精神總進標獎（校院組）第2名","J區（3排5號）"
22,"精神總進標獎","校院組",3,,"J",22,"精神總進標獎（校院組）第3名","J區（3排6號）"
23,"精神總進標獎","直轄市及縣(市)組",1,,"J",23,"精神總進標獎（直轄市及縣(市)組）第1名","J區（3排7號）"
24,"精神總進標獎","直轄市及縣(市)組",2,,"J",24,"精神總進標獎（直轄市及縣(市)組）第2名","J區（3排8號）"
25,"精神總進標獎","直轄市及縣(市)組",3,,"J",25,"精神總進標獎（直轄市及縣(市)組）第3名","J區（4排1號）"
26,"精神總進標獎","直轄市及縣(市)組",4,,"J",26,"精神總進標獎（直轄市及縣(市)組）第4名","J區（4排2號）"
27,"精神總進標獎","直轄市及縣(市)組",5,,"J",27,"精神總進標獎（直轄市及縣(市)組）第5名","J區（4排3號）"
28,"精神總進標獎","直轄市及縣(市)組",6,,"J",28,"精神總進標獎（直轄市及縣(市)組）第6名","J區（4排4號）"
