原始序號,項目,組別,名次,獲獎者,座位區域,座位編號,全名,梯次,座位全名
1,國語演說,國小學生組,1,,A,1,國語演說（國小學生組）第1名,1,A區（1排1號）
2,國語演說,國小學生組,2,,A,2,國語演說（國小學生組）第2名,1,A區（1排2號）
3,國語演說,國小學生組,3,,A,3,國語演說（國小學生組）第3名,1,A區（1排3號）
4,國語演說,國小學生組,4,,A,4,國語演說（國小學生組）第4名,1,A區（1排4號）
5,國語演說,國小學生組,5,,A,5,國語演說（國小學生組）第5名,1,A區（1排5號）
6,國語演說,國小學生組,6,,A,6,國語演說（國小學生組）第6名,1,A區（1排6號）
7,國語演說,國中學生組,1,,A,7,國語演說（國中學生組）第1名,2,A區（1排7號）
8,國語演說,國中學生組,2,,A,8,國語演說（國中學生組）第2名,2,A區（1排8號）
9,國語演說,國中學生組,3,,A,9,國語演說（國中學生組）第3名,2,A區（2排1號）
10,國語演說,國中學生組,4,,A,10,國語演說（國中學生組）第4名,2,A區（2排2號）
11,國語演說,國中學生組,5,,A,11,國語演說（國中學生組）第5名,2,A區（2排3號）
12,國語演說,國中學生組,6,,A,12,國語演說（國中學生組）第6名,2,A區（2排4號）
13,國語演說,高中學生組,1,,A,13,國語演說（高中學生組）第1名,3,A區（2排5號）
14,國語演說,高中學生組,2,,A,14,國語演說（高中學生組）第2名,3,A區（2排6號）
15,國語演說,高中學生組,3,,A,15,國語演說（高中學生組）第3名,3,A區（2排7號）
16,國語演說,高中學生組,4,,A,16,國語演說（高中學生組）第4名,3,A區（2排8號）
17,國語演說,高中學生組,5,,A,17,國語演說（高中學生組）第5名,3,A區（3排1號）
18,國語演說,高中學生組,6,,A,18,國語演說（高中學生組）第6名,3,A區（3排2號）
19,國語演說,教育校院組,1,,A,19,國語演說（教育校院組）第1名,4,A區（3排3號）
20,國語演說,教育校院組,2,,A,20,國語演說（教育校院組）第2名,4,A區（3排4號）
21,國語演說,教育校院組,3,,A,21,國語演說（教育校院組）第3名,4,A區（3排5號）
22,國語演說,教育校院組,4,,A,22,國語演說（教育校院組）第4名,4,A區（3排6號）
23,國語演說,教育校院組,5,,A,23,國語演說（教育校院組）第5名,4,A區（3排7號）
24,國語演說,教育校院組,6,,A,24,國語演說（教育校院組）第6名,4,A區（3排8號）
25,國語演說,教師組,1,,A,25,國語演說（教師組）第1名,5,A區（4排1號）
26,國語演說,教師組,2,,A,26,國語演說（教師組）第2名,5,A區（4排2號）
27,國語演說,教師組,3,,A,27,國語演說（教師組）第3名,5,A區（4排3號）
28,國語演說,教師組,4,,A,28,國語演說（教師組）第4名,5,A區（4排4號）
29,國語演說,教師組,5,,A,29,國語演說（教師組）第5名,5,A區（4排5號）
30,國語演說,教師組,6,,A,30,國語演說（教師組）第6名,5,A區（4排6號）
31,國語演說,社會組,1,,A,31,國語演說（社會組）第1名,6,A區（4排7號）
32,國語演說,社會組,2,,A,32,國語演說（社會組）第2名,6,A區（4排8號）
33,國語演說,社會組,3,,A,33,國語演說（社會組）第3名,6,A區（5排1號）
34,國語演說,社會組,4,,A,34,國語演說（社會組）第4名,6,A區（5排2號）
35,國語演說,社會組,5,,A,35,國語演說（社會組）第5名,6,A區（5排3號）
36,國語演說,社會組,6,,A,36,國語演說（社會組）第6名,6,A區（5排4號）
37,閩南語演說,國小學生組,1,,A,41,閩南語演說（國小學生組）第1名,7,A區（6排1號）
38,閩南語演說,國小學生組,2,,A,42,閩南語演說（國小學生組）第2名,7,A區（6排2號）
39,閩南語演說,國小學生組,3,,A,43,閩南語演說（國小學生組）第3名,7,A區（6排3號）
40,閩南語演說,國小學生組,4,,A,44,閩南語演說（國小學生組）第4名,7,A區（6排4號）
41,閩南語演說,國小學生組,5,,A,45,閩南語演說（國小學生組）第5名,7,A區（6排5號）
42,閩南語演說,國小學生組,6,,A,46,閩南語演說（國小學生組）第6名,7,A區（6排6號）
43,閩南語演說,國中學生組,1,,A,47,閩南語演說（國中學生組）第1名,8,A區（6排7號）
44,閩南語演說,國中學生組,2,,A,48,閩南語演說（國中學生組）第2名,8,A區（6排8號）
45,閩南語演說,國中學生組,3,,A,49,閩南語演說（國中學生組）第3名,8,A區（7排1號）
46,閩南語演說,國中學生組,4,,A,50,閩南語演說（國中學生組）第4名,8,A區（7排2號）
47,閩南語演說,國中學生組,5,,A,51,閩南語演說（國中學生組）第5名,8,A區（7排3號）
48,閩南語演說,國中學生組,6,,A,52,閩南語演說（國中學生組）第6名,8,A區（7排4號）
49,閩南語演說,高中學生組,1,,A,53,閩南語演說（高中學生組）第1名,9,A區（7排5號）
50,閩南語演說,高中學生組,2,,A,54,閩南語演說（高中學生組）第2名,9,A區（7排6號）
51,閩南語演說,高中學生組,3,,A,55,閩南語演說（高中學生組）第3名,9,A區（7排7號）
52,閩南語演說,高中學生組,4,,A,56,閩南語演說（高中學生組）第4名,9,A區（7排8號）
53,閩南語演說,高中學生組,5,,A,57,閩南語演說（高中學生組）第5名,9,A區（8排1號）
54,閩南語演說,高中學生組,6,,A,58,閩南語演說（高中學生組）第6名,9,A區（8排2號）
55,閩南語演說,教育校院組,1,,A,59,閩南語演說（教育校院組）第1名,10,A區（8排3號）
56,閩南語演說,教育校院組,2,,A,60,閩南語演說（教育校院組）第2名,10,A區（8排4號）
57,閩南語演說,教育校院組,3,,A,61,閩南語演說（教育校院組）第3名,10,A區（8排5號）
58,閩南語演說,教育校院組,4,,A,62,閩南語演說（教育校院組）第4名,10,A區（8排6號）
59,閩南語演說,教育校院組,5,,A,63,閩南語演說（教育校院組）第5名,10,A區（8排7號）
60,閩南語演說,教育校院組,6,,A,64,閩南語演說（教育校院組）第6名,10,A區（8排8號）
