原始序號,項目,組別,名次,獲獎者,座位區域,座位編號,全名,梯次,座位全名
1,團體精進獎,教育校院組,1,,J,1,團體精進獎（教育校院組）第1名,103,J區（1排1號）
2,團體精進獎,教育校院組,2,,J,2,團體精進獎（教育校院組）第2名,103,J區（1排2號）
3,團體精進獎,教育校院組,3,,J,3,團體精進獎（教育校院組）第3名,103,J區（1排3號）
4,團體精進獎,直轄市及縣(市)組,1,,J,4,團體精進獎（直轄市及縣(市)組）第1名,103,J區（1排4號）
5,團體精進獎,直轄市及縣(市)組,2,,J,5,團體精進獎（直轄市及縣(市)組）第2名,103,J區（1排5號）
6,團體精進獎,直轄市及縣(市)組,3,,J,6,團體精進獎（直轄市及縣(市)組）第3名,103,J區（1排6號）
7,團體獎,教育校院組,1,,J,9,團體獎（教育校院組）第1名,104,J區（2排1號）
8,團體獎,教育校院組,2,,J,10,團體獎（教育校院組）第2名,104,J區（2排2號）
9,團體獎,教育校院組,3,,J,11,團體獎（教育校院組）第3名,104,J區（2排3號）
10,團體獎,原住民族語組,1,,J,12,團體獎（原住民族語組）第1名,105,J區（2排4號）
11,團體獎,原住民族語組,2,,J,13,團體獎（原住民族語組）第2名,105,J區（2排5號）
12,團體獎,原住民族語組,3,,J,14,團體獎（原住民族語組）第3名,105,J區（2排6號）
13,團體獎,原住民族語組,4,,J,15,團體獎（原住民族語組）第4名,105,J區（2排7號）
14,團體獎,原住民族語組,5,,J,16,團體獎（原住民族語組）第5名,105,J區（2排8號）
15,團體獎,原住民族語組,6,,J,17,團體獎（原住民族語組）第6名,105,J區（3排1號）
16,團體獎,甲組,1,,J,18,團體獎（甲組）第1名,106,J區（3排2號）
17,團體獎,甲組,2,,J,19,團體獎（甲組）第2名,106,J區（3排3號）
18,團體獎,甲組,3,,J,20,團體獎（甲組）第3名,106,J區（3排4號）
19,團體獎,乙組,1,,J,21,團體獎（乙組）第1名,106,J區（3排5號）
20,團體獎,乙組,2,,J,22,團體獎（乙組）第2名,106,J區（3排6號）
21,團體獎,乙組,3,,J,23,團體獎（乙組）第3名,106,J區（3排7號）
22,團體獎,乙組,4,,J,24,團體獎（乙組）第4名,106,J區（3排8號）
23,精神總錦標獎,教育校院組,1,,J,25,精神總錦標獎（教育校院組）第1名,107,J區（4排1號）
24,精神總錦標獎,教育校院組,2,,J,26,精神總錦標獎（教育校院組）第2名,107,J區（4排2號）
25,精神總錦標獎,教育校院組,3,,J,27,精神總錦標獎（教育校院組）第3名,107,J區（4排3號）
26,精神總錦標獎,直轄市及縣(市)組,1,,J,33,精神總錦標獎（直轄市及縣(市)組）第1名,108,J區（5排1號）
27,精神總錦標獎,直轄市及縣(市)組,2,,J,34,精神總錦標獎（直轄市及縣(市)組）第2名,108,J區（5排2號）
28,精神總錦標獎,直轄市及縣(市)組,3,,J,35,精神總錦標獎（直轄市及縣(市)組）第3名,108,J區（5排3號）
29,精神總錦標獎,直轄市及縣(市)組,4,,J,36,精神總錦標獎（直轄市及縣(市)組）第4名,108,J區（5排4號）
30,精神總錦標獎,直轄市及縣(市)組,5,,J,37,精神總錦標獎（直轄市及縣(市)組）第5名,108,J區（5排5號）
31,精神總錦標獎,直轄市及縣(市)組,6,,J,38,精神總錦標獎（直轄市及縣(市)組）第6名,108,J區（5排6號）
